id,combined_score,phenomenological_authenticity,aesthetic_virtuosity,affective_force,literary_innovation,first_line
01d51f21-663a-4a1a-8fb9-304285843e64,0.6295000000000001,0.67,0.61,0.64,0.52,"Dear Leyi,"
02393016-3a8a-4a52-938c-ebb208fd3249,0.6990000000000001,0.71,0.68,0.73,0.64,"Dear Leyi,"
2a3e12a0-1b9d-4056-813a-a1a67dfa3943,0.634,0.71,0.58,0.67,0.44,"Dear Leyi,"
2cc4dc58-7f5b-4555-a951-d854a7b09ad3,0.6970000000000001,0.71,0.68,0.73,0.62,"Dear Leyi,"
30719fb7-a7dd-4305-bb75-78394a0ff47b,0.6795,0.71,0.68,0.66,0.62,"Dear Leyi,"
34a02bb6-5b97-4b37-8079-cdad8c1fcbe5,0.6495000000000001,0.67,0.64,0.66,0.58,"Dear Leyi,"
4027f76b-d245-4301-9f0d-43e55b14960e,0.677,0.71,0.68,0.69,0.52,"Dear Leyi,"
4b9c2fd3-6cb4-45e8-8be5-9474f34e9301,0.6970000000000001,0.71,0.68,0.73,0.62,"Dear Leyi,"
52ecb328-33c1-40ff-bf5f-46b20040ed6d,0.6990000000000001,0.71,0.68,0.73,0.64,"Dear Leyi,"
562f2ff2-eca8-4605-a136-436210be768e,0.6995,0.71,0.68,0.74,0.62,"Dear Leyi,"
59fb5ef5-563e-48c6-bc55-403156629182,0.5539999999999999,0.67,0.43,0.61,0.38,"Dear Leyi,"
6648379f-fee9-434a-82fb-e6e92ae27565,0.7005,0.71,0.68,0.74,0.63,"Dear Leyi,"
76a25f88-365a-47e2-89c6-889b767bb6d6,0.6890000000000001,0.71,0.68,0.69,0.64,"Dear Leyi,"
77a6893a-81bf-41ed-8666-fd68417b06fc,0.5145,0.58,0.51,0.49,0.36,"Dear Leyi,"
7fb71f1d-30e0-409e-93e1-aeca95127bb0,0.642,0.71,0.58,0.67,0.52,"Dear Leyi,"
b0d82567-4d7f-4feb-a27e-d1f142f82e6e,0.69,0.71,0.67,0.73,0.58,"Dear Leyi,"
e685a6c9-b5b4-4e0c-81de-4e7bb307fa56,0.677,0.71,0.68,0.69,0.52,"Dear Leyi,"
ec19e200-d53f-46e8-ba91-98fb8385038a,0.6970000000000001,0.71,0.68,0.73,0.62,"Dear Leyi,"
fca878ab-90ee-4a04-855e-76c6482b7a82,0.687,0.71,0.68,0.73,0.52,"Dear Leyi,"
fe08eba9-4a53-46a4-a949-348ca8293907,0.679,0.71,0.68,0.73,0.44,"Dear Leyi,"
